id,answers,correct_answer,question,json
001,"[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""]",1,What US President's face appears on the quarter coin?,"{""question"":""What US President's face appears on the quarter coin?"",""correct_answer"":1,""answers"":[""Abraham Lincoln"",""George Washington"",""Thomas Jefferson"",""Andrew Jackson""]}"
002,"[""Florida"",""Texas"",""Utah"",""California""]",3,"What US State is nicknamed ""The Golden State?""","{""question"":""What US State is nicknamed ""The Golden State?"""",""correct_answer"":3,""answers"":[""Florida"",""Texas"",""Utah"",""California""]}"
003,"[""Persephone"",""Artemis"",""Dionysus"",""Demeter""]",3,What is the name of the Greek God/Goddess of the harvest and agriculture?,"{""question"":""What is the name of the Greek God/Goddess of the harvest and agriculture?"",""correct_answer"":3,""answers"":[""Persephone"",""Artemis"",""Dionysus"",""Demeter""]}"
004,"[""Ernest"",""Harry"",""Herb"",""Eugene""]",2,"In the television show ""The Simpsons,"" what is the name of Homer's half brother?","{""question"":""In the television show ""The Simpsons,"" what is the name of Homer's half brother?"",""correct_answer"":2,""answers"":[""Ernest"",""Harry"",""Herb"",""Eugene""]}"
005,"[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""]",0,"Who wrote the classic novel ""This Side of Paradise"" in 1920?","{""question"":""Who wrote the classic novel ""This Side of Paradise"" in 1920?"",""correct_answer"":0,""answers"":[""F. Scott Fitzgerald"",""Ernest Hemingway"",""T.S. Elliot"",""Gertrude Stein""]}"
006,"[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always ""That 70s Show""""]",1,"Which of these options was the original title for the sitcom ""That 70s Show?""","{""question"":""Which of these options was the original title for the sitcom ""That 70s Show?"""",""correct_answer"":1,""answers"":[""The Kids Are Alright"",""Teenage Wasteland"",""Hello Wisconsin"",""None, it was always ""That 70s Show""""]}"
007,"[""Denmark"",""Hungary"",""Netherlands"",""Austria""]",0,Copenhagen is the capital of what Eurpoean country?,"{""question"":""Copenhagen is the capital of what Eurpoean country?"",""correct_answer"":0,""answers"":[""Denmark"",""Hungary"",""Netherlands"",""Austria""]}"
008,"[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""]",2,"What is the name of the mall in ""Stranger Things"" where Steve, Robin, Dustin, and Erika spend most of season 3?","{""question"":""What is the name of the mall in ""Stranger Things"" where Steve, Robin, Dustin, and Erika spend most of season 3?"",""correct_answer"":2,""answers"":[""Hawkins Memorial Mall"",""Heart of Hawkins Mall"",""Starcourt Mall"",""Stardew Mall""]}"
009,"[""1748"",""1767"",""1776"",""1667""]",2,What year was The Declaration if Independence signed?,"{""question"":""What year was The Declaration if Independence signed?"",""correct_answer"":2,""answers"":[""1748"",""1767"",""1776"",""1667""]}"
010,"[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""]",0,Which of these US Presidents are NOT carved on Mount Rushmore?,"{""question"":""Which of these US Presidents are NOT carved on Mount Rushmore?"",""correct_answer"":0,""answers"":[""Franklin Delano Roosevelt"",""Abraham Lincoln"",""Theodore Roosevelt"",""George Washington""]}"
011,"[""Environmental Laws"",""Insider Trading"",""Food Safety Laws"",""Child Labor Laws""]",2,"What did Upton Sinclair's book ""The Jungle"" help create legistaltion for?","{""question"":""What did Upton Sinclair's book ""The Jungle"" help create legistaltion for?"",""correct_answer"":2,""answers"":[""Environmental Laws"",""Insider Trading"",""Food Safety Laws"",""Child Labor Laws""]}"
012,"[""The Ottoman Empire"",""The Mongol Empire"",""The Roman Empire"",""The British Empire""]",1,What is considered the largest empire in all of history?,"{""question"":""What is considered the largest empire in all of history?"",""correct_answer"":1,""answers"":[""The Ottoman Empire"",""The Mongol Empire"",""The Roman Empire"",""The British Empire""]}"
013,"[""2002"",""2009"",""2007"",""2005""]",2,What year was the first Iphone released?,"{""question"":""What year was the first Iphone released?"",""correct_answer"":2,""answers"":[""2002"",""2009"",""2007"",""2005""]}"
014,"[""Lamb"",""Pig"",""Sheep"",""Monkey""]",2,Dolly was the name of the first mammal ever cloned. What species of mammal was Dolly?,"{""question"":""Dolly was the name of the first mammal ever cloned. What species of mammal was Dolly?"",""correct_answer"":2,""answers"":[""Lamb"",""Pig"",""Sheep"",""Monkey""]}"
015,"[""Flatwoods Monster"",""Fresno Nightcrawler"",""Bigfoot"",""Mothman""]",3,"What Cryptid first seen in West Virginia is often called ""The Harbinger of Doom?""","{""question"":""What Cryptid first seen in West Virginia is often called ""The Harbinger of Doom?"""",""correct_answer"":3,""answers"":[""Flatwoods Monster"",""Fresno Nightcrawler"",""Bigfoot"",""Mothman""]}"
016,"[""Love"",""Hope"",""Patience"",""Virtue""]",1,"According to Greek mythology, when Pandora's box was opened all of the miseries and misfortunes of man where released. What was the only thing left in the box?","{""question"":""According to Greek mythology, when Pandora's box was opened all of the miseries and misfortunes of man where released. What was the only thing left in the box?"",""correct_answer"":1,""answers"":[""Love"",""Hope"",""Patience"",""Virtue""]}"
017,"[""Hephestus"",""Apollo"",""Aries"",""Hermes""]",3,"What Greek God was considered the ""Herald of the Gods?""","{""question"":""What Greek God was considered the ""Herald of the Gods?"""",""correct_answer"":3,""answers"":[""Hephestus"",""Apollo"",""Aries"",""Hermes""]}"
